MARKET	SERIES	SYMBOL	SECURITY	PREV_CL_PR	OPEN_PRICE	HIGH_PRICE	LOW_PRICE	CLOSE_PRICE	NET_TRDVAL	NET_TRDQTY	CORP_IND	HI_52_WK	LO_52_WK
N	SM	IDEALTECHO	IDEAL TECHNOPLAST IND LTD	127.35	125.5	125.5	124.6	124.6	2251800	18000	 	145.6	88
N	SM	IEML	INDIAN EMULSIFIERS LTD	228.6	232	233	223.5	226	3408125	15000	 	546.9	220
N	SM	INDIFRA	INDIFRA LIMITED	26.8	26.8	27.8	26.8	27.8	220200	8000	 	74.9	26.15
N	SM	INM	INTERIORS & MORE LIMITED	330	330	330	310.05	310.05	570060	1800	 	383	201
N	SM	INNOMET	INNOMET ADVANCED MATERI L	182.95	174.05	174.05	165	170.5	2059140	12000	 	257	165
N	SM	INSPIRE	INSPIRE FILMS LIMITED	29.15	31	31	28.9	29.45	178700	6000	 	67.9	23.65
N	SM	JEYYAM	JEYYAM GLOBAL FOODS LTD	60.4	60.3	61.2	56.5	57.35	19537800	330000	 	69.9	44.6
N	SM	JIWANRAM	JIWANRAM SHEODUTTRA IND L	13.5	13.1	13.1	13.1	13.1	78600	6000	 	22.95	13.1
N	SM	JSLL	JEENA SIKHO LIFECARE LTD	2360.6	2400	2418	2200	2257.55	72397512	31950	 	2498.6	595.5
N	SM	KALANA	KALANA ISPAT LIMITED	44.45	43.5	43.5	41.6	43.25	514100	12000	 	52.2	32.6
N	SM	KATARIA	KATARIA INDUSTRIES LTD	150.6	148.15	149.95	144.9	149.9	977460	6600	 	247	144.9
N	SM	KLL	KAUSHALYA LOGISTICS LTD	102.55	102.55	104	98.75	99.65	4334000	43200	 	162.8	78
N	SM	KODYTECH	KODY TECHNOLAB LIMITED	1564.9	1555.55	1585.3	1500	1503	12737545	8300	 	4175	625
N	SM	KOTYARK	KOTYARK INDUSTRIES LTD	906.85	906.85	910	870	882	19648910	22100	 	1582	818.5
N	SM	KRISHCA	KRISHCA STRAPPING SLTN L	305.95	304.05	304.05	291.1	293.1	5647700	19000	 	430	191
N	SM	KRISHIVAL	KRISHIVAL FOODS LIMITED	249.95	240	249.9	239.15	249.9	484125	2000	 	332.95	213
N	SM	LAKSHYA	LAKSHYA POWERTECH LIMITED	315.8	323.7	328	308	313.3	34357440	108000	 	376.95	245.6
N	SM	LAWSIKHO	ADDICTIVE LEARNING TECH L	350.5	348.05	352.85	335	337.05	15587025	45500	 	448.5	187.5
N	SM	LLOYDS	LLOYDS LUXURIES LIMITED	101.2	104	104	90	91.4	5567700	59000	 	154.1	67.55
N	SM	MACOBSTECH	MACOBS TECHNOLOGIES LTD	163	155	163	155	158	876840	5600	 	197	94.25
N	SM	MADHAVBAUG	VAIDYA SANE AYUR LAB LTD	136.05	132	136	131.1	132.3	847520	6400	 	251	107
N	SM	MADHUSUDAN	MADHUSUDAN MASALA LIMITED	213.95	216	216.5	210	210.7	4036450	19000	 	229	96
N	SM	MAHICKRA	MAHICKRA CHEMICAL LIMITED	110.05	108	108	98.2	101	6033525	60750	 	159.35	89.8
N	SM	MAKS	MAKS ENERGY SOL INDIA LTD	43	42	42	42	42	63000	1500	 	104.2	42
N	SM	MAL	MANGALAM ALLOYS LIMITED	42	41.05	42	40.6	41.5	1120320	27200	 	55.85	32.55
N	SM	MANDEEP	MANDEEP AUTO INDUSTRIES L	35	33.8	34	33.3	34	470600	14000	 	74.4	32.65
N	SM	MARCO	MARCO CABLE & CONDUCTOR L	65.4	65.4	66.65	60.15	60.95	3318000	52500	 	83.95	38.1
N	SM	MAXPOSURE	MAXPOSURE LIMITED	100.7	102	102	91.6	94.9	5742400	60000	 	145	65.55
N	SM	MDL	MARVEL DECOR LIMITED	122.75	120.1	122.85	116.7	120	2156400	18000	 	143.25	83.95
N	SM	MEGATHERM	MEGATHERM INDUCTION LTD	368.25	374	374	349.85	349.85	10014680	28400	 	490	195
N	SM	MHHL	MOHINI HEALTH&HYGIENE LTD	66.75	66.05	68.4	61	64.2	22040775	343500	 	70.9	46
N	SM	MILTON	MILTON INDUSTRIES LIMITED	42.85	40.7	40.7	40.7	40.7	179080	4400	 	48.35	29
N	SM	MONOPHARMA	MONO PHARMACARE LIMITED	34.65	32.95	34	32.95	32.95	794100	24000	 	75	31.8
N	SM	MOXSH	MOXSH OVERSEAS EDUCON LTD	39.35	39.5	39.5	39.5	39.5	126400	3200	 	210.5	36.4
N	SM	MPTODAY	M P TODAY MEDIA LIMITED	46	43.7	43.7	43.7	43.7	87400	2000	 	47.5	30.05
N	SM	MVKAGRO	M.V.K. AGRO FOOD PROD LTD	39.95	41.1	41.1	38.5	38.5	1235280	31200	 	87	36
N	SM	MWL	MANGALAM WORLDWIDE LTD	161.3	161.3	161.3	157	157.05	1530000	9600	 	184	111.35
N	SM	MYMUDRA	MY MUDRA FINCORP LIMITED	79.1	79.4	80.95	76	76.55	2930820	37200	 	130.05	75
N	SM	NEWJAISA	NEWJAISA TECHNOLOGIES LTD	83.5	83.5	83.5	79.1	80.95	5220000	64500	 	156.8	70.05
N	SM	NIDAN	NIDAN LABS AND HEALTH LTD	28.75	28.75	28.75	27.6	27.6	85050	3000	 	41.15	27
N	SM	NPST	NETWORK PEOPLE SRV TECH L	2546.95	2506.6	2575	2500	2545.95	41077605	16150	 	3577	950
N	SM	OLIL	ONECLICK LOGISTICS IND L	107	108.85	110	108.85	108.9	1963740	18000	 	130.75	54.1
N	SM	ORIANA	ORIANA POWER LIMITED	2392.7	2381	2381	2243.5	2253.75	166833648.8	73050	 	2984	485
N	SM	OWAIS	OWAIS METAL & MINERAL	991.3	991.5	1000	896.7	905	57433325	62200	 	1569	231.35
N	SM	PARTYCRUS	PARTY CRUISERS LIMITED	129.5	133	133	125.1	126.4	2195050	17000	 	140	95
N	SM	PCCL	PETRO CARBON AND CHEMI L	207	213.95	213.95	201	202.8	2959260	14400	 	382.8	192.85
N	SM	PENTAGON	PENTAGON RUBBER LIMITED	92.8	90.25	97.95	88	89.1	2297500	25000	 	160	76.6
N	SM	PLADAINFO	PLADA INFOTECH SERVICES L	25.8	26	27.45	26	27.45	160350	6000	 	46	24.5
N	SM	POLYSIL	POLYSIL IRRIGATION SYST L	26.5	26.2	26.2	26.2	26.2	52400	2000	 	58.8	26
N	SM	PPSL	PICTUREPOST STUDIOS LTD	36.2	35.2	36.2	33.25	33.6	4152000	120000	 	44.2	28
N	SM	PRAMARA	PRAMARA PROMOTIONS LTD	139.9	133.4	133.4	132.9	132.9	1728700	13000	 	187.95	82.25
N	SM	PRANIK	PRANIK LOGISTICS LIMITED	105.6	106.05	106.05	92	94.95	6675920	68800	 	112.95	68
N	SM	PREMIUM	PREMIUM PLAST LIMITED	45	47.65	47.95	45.1	45.9	1810050	39000	 	51.75	35.5
N	SM	PRLIND	PREMIER ROADLINES LIMITED	123.9	124	128.8	122.45	124.95	14523800	115000	 	174.9	68.65
N	SM	PROLIFE	PROLIFE INDUSTRIES LTD	345.4	361	361	342	347.95	4571100	13000	 	361	187
N	SM	PROV	PROVENTUS AGROCOM LIMITED	1664.05	1621	1640	1621	1640	521760	320	 	1890	908
N	SM	PSFL	PARAMOUNT SPECIALI FORG L	68.5	67.1	69	64.8	65.95	3976100	60000	 	87.15	56.2
N	SM	PURPLEUTED	PURPLE UNITED SALES LTD	186.15	185	185	172	173.35	32100000	182000	 	235	172
N	SM	PURVFLEXI	PURV FLEXIPACK LIMITED	188.65	185.3	185.5	171	173.1	2001160	11200	 	273	150
N	SM	QMSMEDI	QMS MEDICAL ALLIED S LTD	113	110.65	110.65	108.95	108.95	547750	5000	 	189	90.25
N	SM	QUADPRO	QUADPRO ITES LIMITED	4.3	4.4	4.4	4.15	4.15	514800	120000	 	8.8	4.15
N	SM	QUESTLAB	QUEST LABORATORIES LTD	138.45	144.6	147.15	138	140.45	15330840	108000	 	196.8	85.1
N	SM	RADIOWALLA	RADIOWALLA NETWORK LTD	114	108.85	109.1	104.05	109.1	688000	6400	 	150	102.25
N	SM	RAJINDLTD	RAJPUTANA INDUSTRIES LTD	89.35	91.95	92	85.6	86.9	4229250	48000	 	120	72.2
N	SM	RAJPUTANA	RAJPUTANA BIODIESEL LTD	358.15	345	353.8	328	333.8	37489100	111000	 	383.85	247
N	SM	RCDL	RAJGOR CASTOR DERIVATI L	27.95	27.95	27.95	26.75	26.75	246450	9000	 	56	21.95
N	SM	REMUS	REMUS PHARMACEUTICALS L	2513.5	2460	2489	2350	2372.5	12927090	5350	 	8747	1785.1
N	SM	REXPIPES	REX PIPES AND CABLES LTD	73.8	71	71	71	71	142000	2000	 	91.85	54
N	SM	RITEZONE	RITE ZONE CHEMCON IND LTD	45.75	43.7	43.7	43.65	43.65	209600	4800	 	74.9	37.85
N	SM	ROCKINGDCE	ROCKINGDEALS CIRCU ECO L	607.05	614	647.95	587	599.15	59501837.5	97250	 	687.5	363.6
N	SM	ROXHITECH	ROX HI TECH LIMITED	98.7	99.95	99.95	95	96.15	11098240	115200	 	191.4	95
N	SM	RULKA	RULKA ELECTRICALS LIMITED	288.95	290.05	290.05	278	278	3815265	13500	 	666.6	278
N	SM	SAAKSHI	SAAKSHI MEDTEC N PANELS L	216.95	216.95	216.95	205.05	208.7	4674690	22200	 	369	176.05
N	SM	SADHAV	SADHAV SHIPPING LIMITED	158.05	163.9	164	145.85	149.9	4817640	31800	 	274	131
N	SM	SAHAJ	SAHAJ FASHIONS LIMITED	14.2	14.95	15	14.95	15	239800	16000	 	35.4	12.6
N	SM	SAHASRA	SAHASRA ELECTRONIC SOLU L	593.85	618	618	550	563.8	148662080	255600	 	1013	495.05
N	SM	SAIFL	SAMEERA AGRO AND INFRA L	97	96	96	92	92	823560	8800	 	154	76
N	SM	SAJHOTELS	SAJ HOTELS LIMITED	48.65	48	48.5	46	46.95	1321600	28000	 	63.4	40.1
N	SM	SAROJA	SAROJA PHARMA INDUS IND L	55.5	54.6	54.6	54.6	54.6	87360	1600	 	70.75	33.1
N	SM	SARTELE	SAR TELEVENTURE LIMITED	278.55	279.9	286	261	265.3	46867725	169000	 	413.7	191.05
N	SM	SATIPOLY	SATI POLY PLAST LIMITED	203.95	197	197	190.3	191.5	969300	5000	 	268.7	177
N	SM	SCML	SHARP CHUCKS N MACHINES L	129.95	128	133.8	126.5	126.75	908000	7000	 	148	55
N	SM	SDREAMS	S D RETAIL LIMITED	170.1	165.5	168.4	161.4	161.7	2789650	17000	 	215	131
N	SM	SERVICE	SERVICE CARE LIMITED	76.8	75.5	80	75.5	77	1233100	16000	 	101	52.05
N	SM	SFML	SUPREME FACILITY MGMT LTD	62.7	62.05	63.9	54	55.55	31864320	564800	 	75	45
N	SM	SHEETAL	SHEETAL UNIVERSAL LIMITED	74.2	74.8	74.95	71	72	731500	10000	 	86.95	54.5
N	SM	SHERA	SHERA ENERGY LIMITED	198.4	202.5	202.5	191.05	192.05	6866950	35000	 	235	113.05
N	SM	SHIGAN	SHIGAN QUANTUM TECH LTD	119	119	119	110.1	115	694650	6000	 	166.8	89.7
N	SM	SHREEKARNI	SHREE KARNI FABCOM LTD	703.75	738	738	670.6	686.25	6737250	9600	 	849	260
N	SM	SHREEOSFM	SHREE OSFM E-MOBILITY LTD	128.6	128.6	129	126	126	1275400	10000	 	215	78
N	SM	SHRITECH	SHRI TECHTEX LIMITED	72.55	71.95	72.95	70.5	72	2593000	36000	 	101	51.5
N	SM	SIDDHIKA	SIDDHIKA COATINGS LIMITED	202.1	212	212	200	200	1250000	6000	 	355.35	116.85
N	SM	SIGNORIA	SIGNORIA CREATION LIMITED	115	112	112	109.25	109.25	551500	5000	 	198	109.25
N	SM	SKP	SKP BEARING INDUSTRI. LTD	256.5	251.1	256.35	250.5	250.5	5904800	23500	 	344.95	190
N	SM	SMVD	SMVD POLY PACK LIMITED	11.55	11	11	11	11	44440	4040	 	16.6	8.8
N	SM	SOLEX	SOLEX ENERGY LIMITED	1394.1	1275	1377.1	1269.9	1295.3	63457362.5	48875	 	1919.1	525
N	SM	SOTAC	SOTAC PHARMACEUTICALS LTD	111	105.9	105.9	105.9	105.9	127080	1200	 	202.8	87.1
N	SM	SPECTRUM	SPECTRUM ELECTRIC IND LTD	2282.6	2125	2210	2090	2175.6	8437993.75	3875	 	2520	1060.05
N	SM	SRIVASAVI	SRIVASAVI ADHESIVE TAPE L	104.2	100.05	101.1	99.75	100	1201250	12000	 	167.8	93.5
N	SM	SUNLITE	SUNLITE RECYCLING IND LTD	153.7	150	150	145	148	3168300	21600	 	210	145
N	SM	SUNREST	SUNREST LIFESCIENCE LTD	51.5	54.7	54.7	53	53	172320	3200	 	79	49
N	SM	SWASTIK	SWASTIK PIPE LIMITED	54.9	55.65	56.5	50.5	51	1946160	36000	 	108.9	50.5
N	SM	SYLVANPLY	SYLVAN PLYBOARD (INDIA) L	90	89	89	82.25	86.45	861300	10000	 	139	62.7
N	SM	SYNOPTICS	SYNOPTICS TECHNOLOGIES L	120.1	120	120	113	116.75	2253240	19200	 	154.8	81.75
N	SM	SYSTANGO	SYSTANGO TECHNOLOGIES LTD	288	287.15	296.4	264.8	269.9	31491140	113200	 	407.7	199.5
N	SM	TAPIFRUIT	TAPI FRUIT PROCESSING LTD	109.2	112.95	112.95	112.95	112.95	84712.5	750	 	175	95
N	SM	TCL	THAAI CASTING LIMITED	143.75	141.2	143.1	136.2	137.95	3012040	21600	 	261.65	128.5
N	SM	TIMESCAN	TIMESCAN LOGISTICS IND L	67.75	67.75	70.75	64.4	65.05	1831200	28000	 	171	56.6
N	SM	TIRUPATI	SHREE TIRUPATI BALAJEE	873.95	870	899	870	897.5	6507500	7250	 	999.85	455
N	SM	TRIDHYA	TRIDHYA TECH LIMITED	37.1	37	37.5	36.4	36.4	332700	9000	 	44.4	25.55
N	SM	TROM	TROM INDUSTRIES LIMITED	251.4	252.65	252.65	236	237.35	10527780	43200	 	330.95	195
N	SM	TRUST	TRUST FINTECH LIMITED	160.7	161.8	165	150	155.05	11887380	75600	 	316	136.2
N	SM	TUNWAL	TUNWAL E-MOTORS LIMITED	49.35	49.1	49.25	46.6	46.9	13230900	276000	 	64	39.2
N	SM	UMA	UMA CONVERTER LIMITED	42.7	41.9	43.9	39.05	39.45	10733400	260000	 	45.05	24.05
N	SM	UNIHEALTH	UNIHEALTH HOSPITALS LTD	143	142	144	140.2	141	1702300	12000	 	178	109
N	SM	UNILEX	UNILEX COLOURS AND CHEM L	85.85	89	89	84.9	84.9	2191360	25600	 	89	65.7
N	SM	USASEEDS	UPSURGE SEEDS OF AGRI LTD	234	220.05	224	214.5	221.5	462015	2100	 	421	214.5
N	SM	USHAFIN	USHA FINANCIAL SERVICES L	124.3	124.65	127.95	118.05	119.5	9007240	73600	 	168	113.7
N	SM	VASA	VASA RETAIL & OVERSEA LTD	6.65	6.35	6.35	6.35	6.35	25400	4000	 	8.55	4.1
N	SM	VDEAL	VDEAL SYSTEM LIMITED	169.65	176	197	176	176.95	9564180	51600	 	204	116.2
N	SM	VERTEXPLUS	VERTEXPLUS TECHNOLOGIES L	101	105	105	105	105	63000	600	 	218.9	95.95
N	SM	VIAZ	VIAZ TYRES LIMITED	70.5	71.4	71.4	71.4	71.4	142800	2000	 	73.5	44.25
N	SM	VIESL	VISION INFRA EQUIP SOL L	209.7	210	212	192	199.9	25940680	129600	 	228.7	159
N	SM	VILINBIO	VILIN BIO MED LIMITED	24	24	24	24	24	96000	4000	 	30.45	15.4
N	SM	VINSYS	VINSYS IT SERVICES IND LT	420.75	415.5	415.5	398.1	400.65	6642325	16500	 	449.7	240
N	SM	VISAMAN	VISAMAN GLOBAL SALES LTD	42.95	41.95	41.95	39.05	40	2526300	63000	 	48.75	37.4
N	SM	VISHWAS	VISHWAS AGRI SEEDS LTD	84.3	82	85	81.05	83.95	7051040	84800	 	96.7	58
N	SM	VITAL	VITAL CHEMTECH LIMITED	74.9	74.35	74.4	70.6	72.3	1418400	19200	 	115.4	67.05
N	SM	WALPAR	WALPAR NUTRITIONS LIMITED	52.5	52.5	52.5	52.5	52.5	105000	2000	 	153.95	44
N	SM	WINSOL	WINSOL ENGINEERS LIMITED	271.5	284.95	310	280	296.5	37092400	127200	 	592	251
N	SM	WOL3D	WOL 3D INDIA LIMITED	144	140.75	140.75	138.3	138.3	699700	5000	 	189.05	130.1
N	SM	YASHOPTICS	YASH OPTICS & LENS LTD	88.35	87.5	88	86	86.15	1667440	19200	 	121.85	80
N	SM	YCCL	YASONS CHEMEX CARE LTD	19.9	19.05	19.05	18	18.75	1001400	54000	 	43	18
N	SM	YUDIZ	YUDIZ SOLUTIONS LIMITED	61.5	58.55	60	58.55	60	473280	8000	 	167.9	50.35
N	SM	ZEAL	ZEAL GLOBAL SERVICES LTD	178	182.05	182.05	172.1	172.35	1908870	10800	 	294.4	148
N	ST	ABCOTS	A B COTSPIN INDIA LIMITED	474.25	489	495	475	478.7	12788050	26500	 	516	123.35
N	ST	ABHAPOWER	ABHA POWER N STEEL LTD	50.45	48.65	49	47.95	47.95	3933520	81600	 	81.9	45.5
G	ST	AHIMSA	AHIMSA INDUSTRIES LTD.	71.75	73.15	73.15	73.15	73.15	219450	3000	 	73.15	15.1
N	ST	AIMTRON	AIMTRON ELECTRONICS LTD	585	614.25	614.25	567.2	590.7	133807000	226400	 	729.95	240.1
N	ST	AISL	ANI INTEGRATED SERV LTD.	174.85	166.15	166.15	166.1	166.1	398670	2400	 	218.45	65.7
N	ST	AKANKSHA	AKANKSHA POWER N INFRA L	148.75	156	156.15	150	155.75	19573450	126000	 	191.9	73
N	ST	ALLETEC	ALL E TECHNOLOGIES LTD	520.3	510	528.95	494.3	523.4	28781440	56800	 	633	215.1
G	ST	AMBANIORGO	AMBANI ORGOCHEM LIMITED	144	146.5	146.5	141.15	141.15	721600	5000	 	150	76.15
N	ST	AMEYA	AMEYA PRECISION ENG LTD	120.9	121.3	126.9	121	121	3275500	26000	 	143.85	43.55
